source,paper_id,title,abstract,authors,year,publication_date,doi,url,pdf_url,venue,journal,citation_count,reference_count,categories
arxiv,2603.12630v1,The Economics of AI Supply Chain Regulation,"The rise of foundation models has driven the emergence of AI supply chains, where upstream foundation model providers offer fine-tuning and inference services to downstream firms developing domain-specific applications. Downstream firms pay providers to use their computing infrastructure to fine-tune models with proprietary data, creating a co-creation dynamic that enhances model quality. Amid concerns that foundation model providers and downstream firms may capture excessive consumer surplus, along with increasing regulatory measures, this study employs a game-theoretic model involving a provider and two competing downstream firms to analyze how policy interventions affect consumer surplus in the AI supply chain. Our analysis shows that policies promoting price competition in downstream markets (i.e., pro-price-competitive policies) boost consumer surplus only when compute or data preprocessing costs are high, while compute subsidies are effective only when these costs are low, suggesting these policies complement each other. In contrast, policies promoting quality competition in downstream markets (i.e., pro-quality-competitive policies) always improve consumer surplus. We also find that under pro-price-competitive policies or compute subsidies, both the provider and downstream firms can achieve higher profits along with greater consumer surplus, creating a win-win-win outcome. However, pro-quality-competitive policies increase the provider's profits while reducing those of downstream firms. Finally, as compute costs decline, pro-price-competitive policies may lose their effectiveness, whereas compute subsidies may shift from ineffective to effective. These findings offer insights for policymakers seeking to foster AI supply chains that are economically efficient and socially beneficial.","['Sihan Qian', 'Amit Mehra', 'Dengpan Liu']",2026.0,2026-03-13T04:03:55+00:00,,http://arxiv.org/abs/2603.12630v1,https://arxiv.org/pdf/2603.12630v1,,,,,"['econ.TH', 'cs.AI', 'cs.CY', 'cs.HC', 'econ.EM']"
arxiv,2605.23989v1,"Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security","Agentic AI systems -- Large Language Models (LLMs) augmented with planning, tool use, memory, and long-horizon interactions -- can execute complex tasks autonomously, but their multi-step trajectories introduce new failure modes that challenge trustworthiness. This survey provides a focused examination of trustworthy agentic AI through two core dimensions that are critical for high-risk deployments: Safety and Robustness, and Privacy and System Security. For each dimension, we clarify key concepts, identify where risks emerge along the agent workflow, and summarize stage-targeted mitigation strategies. Other trustworthiness aspects (value alignment, transparency, fairness, and accountability) are discussed as relevant context rather than parallel chapters. To support consistent comparison and deployment decisions, we consolidate evaluation into a unified metrics-and-benchmarks hub, emphasizing both outcome and process signals (e.g., constraint violations, trace completeness, and adversarial success rates) and offering scenario-to-metric guidance for release gating. We conclude by outlining open challenges such as self-evolving agents, runtime monitoring and verification, privacy-preserving personalization, and the trust-utility trade-off, and present a case study of real-world security failures in open-source agentic systems. Our goal is to serve as a practical reference for researchers and practitioners building trustworthy agentic systems in high-stakes environments.","['Jinhu Qi', 'Muzhi Li', 'Jiahong Liu', 'Yuqin Shu', 'Dianzhi Yu', 'Shicheng Ma', 'Wenqian Cui', 'Yiyang Zhao', 'Yiyi Chen', 'Ruoxi Jiang', 'Irwin King', 'Zenglin Xu']",2026.0,2026-05-17T10:26:37+00:00,10.20935/AcadAI8260,http://arxiv.org/abs/2605.23989v1,https://arxiv.org/pdf/2605.23989v1,,"Academia AI and Applications, vol. 2, 2026",,,"['cs.AI', 'cs.CL', 'cs.CR']"
arxiv,2605.05287v1,"Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use","Retrieval-Augmented Generation (RAG) and agentic AI systems are increasingly prevalent in enterprise AI deployments. However, real enterprise environments introduce challenges largely absent from academic treatments and consumer-facing APIs: multiple tenants with heterogeneous data, strict access-control requirements, regulatory compliance, and cost pressures that demand shared infrastructure.
  A fundamental problem underlies existing RAG architectures in these settings: retrieval systems rank documents by relevance--whether through semantic similarity, keyword matching, or hybrid approaches--not by authorization, so a query from one tenant can surface another tenant's confidential data simply because it scores highest. We formalize this gap and analyze additional shortcomings--including tool-mediated disclosure, context accumulation across turns, and client-side orchestration bypass--that arise when agentic systems conflate relevance with authorization. To address these challenges, we introduce a layered isolation architecture combining policy-aware ingestion, retrieval-time gating, and shared inference, enforced through server-side agentic orchestration. This approach centralizes security-critical operations--tool execution authorization, state isolation, and policy enforcement--on the server, creating natural enforcement points for multitenant isolation while allowing client-side frameworks to retain control over agent composition and latency-sensitive operations.
  We validate the proposed architecture through an open-source implementation in OGX, a vendor-neutral framework that implements an OpenAI-compatible, open-source Responses API with server-side multi-turn orchestration. We evaluate it empirically and show that ABAC gating eliminates cross-tenant leakage while introducing negligible overhead.","['Francisco Javier Arceo', 'Varsha Prasad Narsing']",2026.0,2026-05-06T17:59:21+00:00,10.1145/3786335.3813145,http://arxiv.org/abs/2605.05287v1,https://arxiv.org/pdf/2605.05287v1,,"ACM Conference on AI and Agentic Systems (ACM CAIS '26), May 26-29, 2026, San Jose, CA, USA",,,"['cs.CR', 'cs.AI', 'cs.IR', 'cs.SE']"
arxiv,2603.18914v1,"Security, privacy, and agentic AI in a regulatory view: From definitions and distinctions to provisions and reflections","The rapid proliferation of artificial intelligence (AI) technologies has led to a dynamic regulatory landscape, where legislative frameworks strive to keep pace with technical advancements. As AI paradigms shift towards greater autonomy, specifically in the form of agentic AI, it becomes increasingly challenging to precisely articulate regulatory stipulations. This challenge is even more acute in the domains of security and privacy, where the capabilities of autonomous agents often blur traditional legal and technical boundaries. This paper reviews the evolving European Union (EU) AI regulatory provisions via analyzing 24 relevant documents published between 2024 and 2025. From this review, we provide a clarification of critical definitions. We deconstruct the regulatory interpretations of security, privacy, and agentic AI, distinguishing them from closely related concepts to resolve ambiguity. We synthesize the reviewed documents to articulate the current state of regulatory provisions targeting different types of AI, particularly those related to security and privacy aspects. We analyze and reflect on the existing provisions in the regulatory dimension to better align security and privacy obligations with AI and agentic behaviors. These insights serve to inform policymakers, developers, and researchers on the compliance and AI governance in the society with increasing algorithmic agencies.","['Shiliang Zhang', 'Sabita Maharjan']",2026.0,2026-03-19T13:50:52+00:00,,http://arxiv.org/abs/2603.18914v1,https://arxiv.org/pdf/2603.18914v1,,,,,"['cs.CR', 'cs.AI', 'cs.CY']"
arxiv,2603.28944v2,Faith in AI can narrow the futures individuals consider,"Artificial intelligence (AI) predictions are increasingly used to inform human decisions. Here, using a behavioral implementation of the classic Newcomb's paradox in 1,305 participants, we show that AI predictions can also shape the reasoning people use to make a decision. In this paradigm, perceived predictive authority can alter how people reason about their future actions, leading them to forgo a guaranteed reward. Over 40% of participants treated AI as such a predictive authority about their own behavior, significantly increasing the odds of forgoing the guaranteed reward by a factor of 3.39 (95% CI: 2.45-4.70) and reducing earnings by 10.7-42.9%. The effect appeared across AI presentations and decision contexts and remained detectable even when predictions repeatedly failed. When people perceive AI as capable of predicting their personal behavior, the mere presence of AI predictions may shape their decision-making, narrowing the futures they consider.","['Aoi Naito', 'Hirokazu Shirado']",2026.0,2026-03-30T19:36:10+00:00,,http://arxiv.org/abs/2603.28944v2,https://arxiv.org/pdf/2603.28944v2,,,,,['cs.HC']
arxiv,2001.11843v1,An Interacting Agent Model of Economic Crisis,"Most national economies are linked by international trade. Consequently, economic globalization forms a massive and complex economic network with strong links, that is, interactions arising from increasing trade. Various interesting collective motions are expected to emerge from strong economic interactions in a global economy under trade liberalization. Among the various economic collective motions, economic crises are our most intriguing problem. In our previous studies, we have revealed that the Kuramoto's coupled limit-cycle oscillator model and the Ising-like spin model on networks are invaluable tools for characterizing the economic crises. In this study, we develop a mathematical theory to describe an interacting agent model that derives the Kuramoto model and the Ising-like spin model by using appropriate approximations. Our interacting agent model suggests phase synchronization and spin ordering during economic crises. We confirm the emergence of the phase synchronization and spin ordering during economic crises by analyzing various economic time series data. We also develop a network reconstruction model based on entropy maximization that considers the sparsity of the network. Here network reconstruction means estimating a network's adjacency matrix from a node's local information. The interbank network is reconstructed using the developed model, and a comparison is made of the reconstructed network with the actual data. We successfully reproduce the interbank network and the known stylized facts. In addition, the exogenous shock acting on an industry community in a supply chain network and financial sector are estimated. Estimation of exogenous shocks acting on communities of in the real economy in the supply chain network provide evidence of the channels of distress propagating from the financial sector to the real economy through the supply chain network.",['Yuichi Ikeda'],2020.0,2020-01-30T04:53:32+00:00,,http://arxiv.org/abs/2001.11843v1,https://arxiv.org/pdf/2001.11843v1,,"Chapter 11 of the book titled by ""Complexity, Heterogeneity and the Methods of Statistical Physics in Economics"" which will be published from Springer in 2020",,,"['physics.soc-ph', 'econ.GN']"
arxiv,2509.10152v1,Evaluating the Economic Feasibility of Labor Replacement Through Robotics and Automation in Qatar,"This paper investigates the economic feasibility of replacing human labor with robotics and automation in Qatar's manufacturing and service sectors. By analyzing labor costs, productivity gains, and implementation expenses, the study assesses the potential financial impact and return on investment of robotic integration. Results indicate the sectors where automation is economically viable and identify challenges related to workforce adaptation, policy, and infrastructure. These insights provide guidance for policymakers and industry stakeholders considering automation strategies in Qatar.","['Tariq Eldakruri', 'Edip Senyurek']",2025.0,2025-09-12T11:28:53+00:00,10.9790/5933-1604035664,http://arxiv.org/abs/2509.10152v1,https://arxiv.org/pdf/2509.10152v1,,"IOSR Journal of Economics and Finance (IOSR-JEF), Volume 16, Issue 4, Jul.Aug. 2025",,,['econ.GN']
arxiv,2509.14528v2,Why Johnny Can't Use Agents: Industry Aspirations vs. User Realities with AI Agents,"There is growing imprecision about what ""AI agents"" are, what they can do, and how effectively they can be used by their intended users. We pose two key research questions: (i) How does the tech industry conceive and market ""AI agents""? (ii) What challenges do end-users face when attempting to use commercial AI agents for their advertised uses? We first performed a systematic review of marketed use cases for 102 commercial AI agents, finding that they fall into three umbrella categories: orchestration, creation, and insight. We then evaluated whether end-users could realize these marketed capabilities in practice: we conducted a usability assessment where N = 31 participants attempted representative tasks for each of these categories on two popular commercial AI agent tools: Operator and Manus. We found that users were generally impressed with these agents but faced significant usability challenges ranging from agent capabilities that were misaligned with user mental models to agents lacking the meta-cognitive abilities necessary for effective collaboration.","['Pradyumna Shome', 'Sashreek Krishnan', 'Sauvik Das']",2025.0,2025-09-18T01:51:29+00:00,10.1145/3786335.3813140,http://arxiv.org/abs/2509.14528v2,https://arxiv.org/pdf/2509.14528v2,,,,,['cs.HC']
arxiv,2511.16402v1,Trustworthy AI in the Agentic Lakehouse: from Concurrency to Governance,"Even as AI capabilities improve, most enterprises do not consider agents trustworthy enough to work on production data. In this paper, we argue that the path to trustworthy agentic workflows begins with solving the infrastructure problem first: traditional lakehouses are not suited for agent access patterns, but if we design one around transactions, governance follows. In particular, we draw an operational analogy to MVCC in databases and show why a direct transplant fails in a decoupled, multi-language setting. We then propose an agent-first design, Bauplan, that reimplements data and compute isolation in the lakehouse. We conclude by sharing a reference implementation of a self-healing pipeline in Bauplan, which seamlessly couples agent reasoning with all the desired guarantees for correctness and trust.","['Jacopo Tagliabue', 'Federico Bianchi', 'Ciro Greco']",2025.0,2025-11-20T14:21:34+00:00,,http://arxiv.org/abs/2511.16402v1,https://arxiv.org/pdf/2511.16402v1,,,,,"['cs.AI', 'cs.DB']"
arxiv,2601.11816v1,POLARIS: Typed Planning and Governed Execution for Agentic AI in Back-Office Automation,"Enterprise back office workflows require agentic systems that are auditable, policy-aligned, and operationally predictable, capabilities that generic multi-agent setups often fail to deliver. We present POLARIS (Policy-Aware LLM Agentic Reasoning for Integrated Systems), a governed orchestration framework that treats automation as typed plan synthesis and validated execution over LLM agents. A planner proposes structurally diverse, type checked directed acyclic graphs (DAGs), a rubric guided reasoning module selects a single compliant plan, and execution is guarded by validator gated checks, a bounded repair loop, and compiled policy guardrails that block or route side effects before they occur. Applied to document centric finance tasks, POLARIS produces decision grade artifacts and full execution traces while reducing human intervention. Empirically, POLARIS achieves a micro F1 of 0.81 on the SROIE dataset and, on a controlled synthetic suite, achieves 0.95 to 1.00 precision for anomaly routing with preserved audit trails. These evaluations constitute an initial benchmark for governed Agentic AI. POLARIS provides a methodological and benchmark reference for policy-aligned Agentic AI. Keywords Agentic AI, Enterprise Automation, Back-Office Tasks, Benchmarks, Governance, Typed Planning, Evaluation","['Zahra Moslemi', 'Keerthi Koneru', 'Yen-Ting Lee', 'Sheethal Kumar', 'Ramesh Radhakrishnan']",2026.0,2026-01-16T22:38:21+00:00,,http://arxiv.org/abs/2601.11816v1,https://arxiv.org/pdf/2601.11816v1,,,,,['cs.AI']
