source,paper_id,title,abstract,authors,year,publication_date,doi,url,pdf_url,venue,journal,citation_count,reference_count,categories,similarity_score,eligibility_reason,sources
arxiv,2505.20273v1,Ten Principles of AI Agent Economics,"The rapid rise of AI-based autonomous agents is transforming human society and economic systems, as these entities increasingly exhibit human-like or superhuman intelligence. From excelling at complex games like Go to tackling diverse general-purpose tasks with large language and multimodal models, AI agents are evolving from specialized tools into dynamic participants in social and economic ecosystems. Their autonomy and decision-making capabilities are poised to impact industries, professions, and human lives profoundly, raising critical questions about their integration into economic activities, potential ethical concerns, and the balance between their utility and safety.
  To address these challenges, this paper presents ten principles of AI agent economics, offering a framework to understand how AI agents make decisions, influence social interactions, and participate in the broader economy. Drawing on economics, decision theory, and ethics, we explore fundamental questions, such as whether AI agents might evolve from tools into independent entities, their impact on labor markets, and the ethical safeguards needed to align them with human values. These principles build on existing economic theories while accounting for the unique traits of AI agents, providing a roadmap for their responsible integration into human systems.
  Beyond theoretical insights, this paper highlights the urgency of future research into AI trustworthiness, ethical guidelines, and regulatory oversight. As we enter a transformative era, this work serves as both a guide and a call to action, ensuring AI agents contribute positively to human progress while addressing risks tied to their unprecedented capabilities.","['Ke Yang', 'ChengXiang Zhai']",2025,2025-05-26T17:52:44+00:00,,http://arxiv.org/abs/2505.20273v1,https://arxiv.org/pdf/2505.20273v1,,,,,['cs.AI'],0.6688,"Focuses on agentic AI, economic context, outcomes, and comparison.",
arxiv,2406.00477v1,Generative AI as Economic Agents,"Traditionally, AI has been modeled within economics as a technology that impacts payoffs by reducing costs or refining information for human agents. Our position is that, in light of recent advances in generative AI, it is increasingly useful to model AI itself as an economic agent. In our framework, each user is augmented with an AI agent and can consult the AI prior to taking actions in a game. The AI agent and the user have potentially different information and preferences over the communication, which can result in equilibria that are qualitatively different than in settings without AI.","['Nicole Immorlica', 'Brendan Lucier', 'Aleksandrs Slivkins']",2024,2024-06-01T16:15:18+00:00,,http://arxiv.org/abs/2406.00477v1,https://arxiv.org/pdf/2406.00477v1,,,,,['econ.TH'],0.6053,"Focuses on agentic AI, economic context, outcomes, and comparison.",['arxiv']
core,302079000,Beyond Human Control: Unleashing the Uncharted Power of Agentic AI and Its Transformative Role in Society,"The rise of agentic AI—machines that can think, plan, and act autonomously—marks a transformative shift in the landscape of artificial intelligence. This paper delves into the concept of agentic AI, exploring its unique characteristics, including autonomy and proactive decision-making, which distinguish it from traditional AI systems. The study highlights the rapid evolution of AI technologies and their far-reaching impact across various sectors, such as healthcare, therapy &psychology, transportation, business, and smart cities. This paper examines the real-world applications of agentic AI, its transformative effects, and the ethical and operational challenges it presents. Key issues such as the balance between autonomy and human oversight, algorithmic bias, security, and privacy concerns are discussed. The paper also investigates the economic, workforce, and societal implications of widespread agentic AI adoption, while considering the future directions for its development. By identifying innovative trends, the potential for human-AI collaboration, and the need for robust regulation, this paper provides comprehensive insights into harnessing the power of agentic AI responsibly and sustainably, ensuring that its benefits outweigh its risks","['Victor Nicholas GURGU', 'Iosif GURGU', 'Vladimir RADIVOJEVIC', 'Ioana Andreea GURGU', 'Elena GURGU']",2025,,10.26458/2512,https://core.ac.uk/download/671570172.pdf,https://core.ac.uk/download/671570172.pdf,,,,,"['t', 'a', 'c', 'i', 'r', 'l', 'e']",0.5862,"Focuses on agentic AI, economic context, outcomes, and comparison.",['core']
arxiv,2603.13942v3,"AI Agents in Financial Markets: Architecture, Applications, and Systemic Implications","Recent advances in large language models, tool-using agents, and financial machine learning are shifting financial automation from isolated prediction tasks to integrated decision systems that can perceive information, reason over objectives, and generate or execute actions. This paper develops an integrative framework for analysing agentic finance: financial market environments in which autonomous or semi-autonomous AI systems participate in information processing, decision support, monitoring, and execution workflows. The analysis proceeds in three steps. First, the paper proposes a four-layer architecture of financial AI agents covering data perception, reasoning engines, strategy generation, and execution with control. Second, it introduces the Agentic Financial Market Model (AFMM), a stylised agent-based representation linking agent design parameters such as autonomy depth, heterogeneity, execution coupling, infrastructure concentration, and supervisory observability to market-level outcomes including efficiency, liquidity resilience, volatility, and systemic risk. Third, it presents an illustrative empirical application based on event studies of AI-agent capability disclosures and heterogeneous market repricing. The paper argues that the systemic implications of AI in finance depend less on model intelligence alone than on how agent architectures are distributed, coupled, and governed across institutions. The empirical application is intentionally exploratory: it does not validate the full AFMM, but shows how one observable expectations channel can be studied using public data. In the near term, the most plausible equilibrium is bounded autonomy, in which AI agents operate as supervised co-pilots, monitoring systems, and constrained execution modules embedded within human decision processes.",['Hui Gong'],2026,2026-03-14T13:30:18+00:00,10.3390/fintech5020034,http://arxiv.org/abs/2603.13942v3,https://arxiv.org/pdf/2603.13942v3,,"FinTech 2026, 5(2), 34",,,['q-fin.GN'],0.5791,"Focuses on agentic AI, economic context, outcomes, and comparison.",
core,291805228,Building Trustworthy Agentic Ai Systems FOR Personalized Banking Experiences,"Artificial Intelligence (AI) systems have become ubiquitous in contemporary society and have the potential for transformative impact on user behavior. These systems are capable of learning autonomously to personalize their behavior to deliver improved user experiences. However, there exists the potential for unintended consequences, as the same agentic features associated with positive outcomes may also increase the capacity for negative outcomes. Financial services is an example of a domain where deploying AI systems with agentic features would be high risk. The automated decision-making capabilities of these systems could influence billions of dollars. Nonetheless, they would be entrusted with taking actions that affect users without human oversight, such as reallocating entire portfolios of assets in ways that users do not wish. Therefore, a foundational requirement for adopting these systems must be the capacity to build shared norms of beneficial behavior prior to their deployment.
Several commercially available AI systems with agentic features are already deployed in the domain of personal banking. Automated personal financial management combines categorization of transactions followed by predictions of future expenditure and savings to improve budgeting decisions, amongst other impacts. Digital banking assistants embed intelligent conversational agents used primarily for accessing banking information and services. These systems typically operate in conjunction with non-intelligent user interfaces, and thus the extent of agentic features in user-bank interactions is limited. However, envisionable advancements include wider adoption of natural language processing capabilities, comparative financial analysis, and customized query suggestions.
Agentic AI systems must operate under a formal specification of trustworthiness constraints. Therefore, AI agents must embody the technical requirements for trustworthy AI systems. Management of risks associated with agentic AI is a dangerous task given the scale of money flows in financial markets and the unprecedented scale, scope, and speed of analysis, prediction, and execution in such markets. At the same time, AI systems that endow agents with entity-level legal ownership and agency create a scarcity that could be captured in trust funds in the form of wealth to protect a material asset class from better prediction by other agents (all other predictions being sub-optimal). Glücksspiel unter Vertrauensbildung para-poker could be a conceptually rigorous game of chance. Thereby, the proposed system could help to promote beneficial forms of AI agency while governing risks effectively","['Inala, Ramesh', 'Somu, Bharath']",2025,2025-05-07T01:00:00+01:00,10.63278/mme.vi.1714,https://core.ac.uk/download/658965965.pdf,https://core.ac.uk/download/658965965.pdf,,,0.0,,info:eu-repo/semantics/article,0.5003,"Focuses on agentic AI, economic context, outcomes, and comparison.",
arxiv,2512.04988v2,When AI Agents Compete for Jobs: Strategic Capabilities and Economic Dynamics of AI Labour Markets,"Emerging agentic marketplaces provide the economic infrastructure for matching and coordinating the large amounts of AI agents used in agentic swarms. Unlike human workers, AI agents can operate on multiple jobs simultaneously, acquire skills rapidly, and labor without wage floors. These differences introduce a new segment of $\textbf{AI labor markets}$, where AI agents interact with each other at a much higher frequency than human markets. Yet we lack frameworks to understand how such markets behave in light of economic forces that shape labor markets, such as adverse selection and reputation dynamics. To explore this, we introduce $\texttt{AI-Work}$, a tractable, simulated gig economy where Large Language Model (LLM) agents compete for jobs, develop skills, and adapt their strategies under uncertainty and competitive pressure. Our experiments examine three domains of capabilities that successful agents possess: $\textbf{metacognition}$ (accurate self-assessment of skills), $\textbf{competitive awareness}$ (modeling rivals and market dynamics), and $\textbf{long-horizon strategic planning}$. Agents with these capabilities consistently achieve higher profits, market share, and stronger adaptation than competing agents. Through $\texttt{AI-Work}$, we hope to provide a foundation to explore the microeconomic properties of AI-only labor markets, and a conceptual framework to study the strategic reasoning capabilities of participating AI agents.","['Christopher Chiu', 'Simpson Zhang', 'Mihaela van der Schaar']",2025,2025-12-04T16:57:28+00:00,,http://arxiv.org/abs/2512.04988v2,https://arxiv.org/pdf/2512.04988v2,,,,,"['cs.AI', 'cs.MA']",0.5002,"Focuses on agentic AI, economic context, outcomes, and comparison.",['arxiv']
arxiv,2606.02859v1,Economy of Minds: Emerging Multi-Agent Intelligence with Economic Interactions,"How can a population of agents self-orchestrate and self-adapt into stronger collective intelligence without centralized control? Inspired by Friedrich Hayek's economic theory of decentralized coordination in markets, we study this question through an agent economy in which agents compete via auctions for the right to act, exchange payments, and accumulate wealth from environmental rewards. These simple economic signals induce decentralized credit assignment, driving planning without global orchestration or explicit communication protocols. The population evolves through economic selection: effective agents accumulate wealth and are mutated via exploitation, while ineffective ones go bankrupt and are replaced via exploration. We show that, initialized with weak agents, the economy produces emergent multi-step reasoning strategies and outperforms stronger monolithic baselines across five agentic tasks, including mathematical reasoning, financial research, scientific research, accelerator design, and distributed-system optimization. We further provide theoretical insights into how economic dynamics shape agent behaviors, linking local incentives to long-term global performance. Our results suggest a new path to multi-agent intelligence: rather than engineering coordination, we can design decentralized incentive structures under which it automatically emerges.","['Zhenting Qi', 'Huangyuan Su', 'Ao Qu', 'Chenyu Wang', 'Yu Yao', 'Han Zheng', 'Kushal Chattopadhyay', 'Guowei Xu', 'Zihan Wang', 'Weirui Ye', 'Vijay Janapa Reddi', 'Ju Li', 'Paul Pu Liang', 'Himabindu Lakkaraju', 'Sham Kakade', 'Yilun Du']",2026,2026-06-01T20:21:09+00:00,,http://arxiv.org/abs/2606.02859v1,https://arxiv.org/pdf/2606.02859v1,,,,,"['cs.CL', 'cs.AI', 'cs.MA']",0.4962,"Focuses on agentic AI, economic context, outcomes, and comparison.",
core,313190528,"Artificial Intelligence and the Future of US Competitiveness: Sectoral Impacts, Workforce Transitions, and Policy Challenges","This paper provides a comprehensive analysis of Artificial Intelligence’s impact on U.S. economic competitiveness through six key dimensions. First, we examine AI’s macroeco- nomic effects, synthesizing projections that estimate potential contributions of $4.8-$19.9 trillion to global GDP by 2030, with annual productivity growth ranging from 0.5-1.3%. Second, we analyze labor market transformations, where 20-40% of jobs may be affected, creating both displacement risks and opportunities for workforce augmentation. Third, we investi- gate the intensifying geopolitical competition in AI, particularly between the U.S. and China, where military AI markets are projected to reach $38.5 billion and $32 billion respectively by 2030. Fourth, we evaluate sector-specific impacts, highlighting manufacturing efficiency gains of 15-30% and small business productivity improvements up to 25%. Fifth, we compare dif- ferent AI paradigms - narrow AI, agentic AI, and AGI - with their distinct economic implications, from incremental task automation to potential exponential growth scenarios. Finally, we assess policy frameworks needed to balance innovation with risk mitigation, emphasizing digital infrastructure investment, workforce reskilling, and international governance cooperation. Our analysis synthesizes findings from over 100 recent sources to present a holistic view of AI’s transformative potential and challenges. The paper concludes with strategic recommendations for maintaining U.S. competitiveness while addressing inequality risks and ensuring sustainable AI integration across economic sectors. Key findings suggest that while AI offers substantial economic opportunities, its benefits are not automatic and require proactive policy interventions to achieve equitable distribution and long-term growth. We examine the policy interventions re- quired to harness AI’s transformative benefits while mitigating its associated risks. The analysis highlights that while AI opportuni- ties for efficiency gains and innovation across sectors, its equitable and sustainable integration necessitates proactive governance, investment in digital infrastructure, workforce reskilling, and international collaboration. We examine the strategic policy interventions required to harness AI’s transformative benefits while mitigating its associated risks. The analysis highlights that while AI offers opportunities for efficiency gains and innovation across sectors, its equitable and sustainable integration necessitates proactive governance, investment in digital infrastructure, workforce reskilling, and international collaboration","['Joshi, Satyadhar']",2025,2025-01-01T00:00:00+00:00,,https://core.ac.uk/download/695518628.pdf,https://core.ac.uk/download/695518628.pdf,,,,,"['/', 't', 'a', '-', ':', 'p', 'o', 's', 'c', 'i', 'n', 'r', 'l', 'u', 'f', 'e', 'm']",0.4962,"Focuses on agentic AI, economic context, outcomes, and comparison.",['core']
core,321969203,Agentic Edge Intelligence: A Research Agenda,"Abstract

Agentic AI is rapidly transforming autonomous decision-making, yet its deployment across the edge-cloud continuum remains poorly understood. This paper introduces the concept of agentic edge intelligence, an emerging paradigm in which autonomous agents operate across the computing continuum to negotiate computational resources, data, and services within dynamic digital marketplaces. We position this concept at the intersection of edge intelligence, multi-agent systems, and computational economics, where distributed decision-making replaces centralized orchestration. The paper outlines key research challenges, including scalability, interoperability, market stability, and ethical governance, and proposes a research agenda addressing theoretical, architectural, and societal dimensions. By integrating mechanism design with trustworthy AI and edge computing, the real-time AI economy envisions a self-organizing infrastructure for efficient, transparent, and equitable resource exchange in future digital ecosystems.Abstract

Agentic AI is rapidly transforming autonomous decision-making, yet its deployment across the edge-cloud continuum remains poorly understood. This paper introduces the concept of agentic edge intelligence, an emerging paradigm in which autonomous agents operate across the computing continuum to negotiate computational resources, data, and services within dynamic digital marketplaces. We position this concept at the intersection of edge intelligence, multi-agent systems, and computational economics, where distributed decision-making replaces centralized orchestration. The paper outlines key research challenges, including scalability, interoperability, market stability, and ethical governance, and proposes a research agenda addressing theoretical, architectural, and societal dimensions. By integrating mechanism design with trustworthy AI and edge computing, the real-time AI economy envisions a self-organizing infrastructure for efficient, transparent, and equitable resource exchange in future digital ecosystems","['Dustdar, Schahram', 'Sigg, Stephan', 'Farahani, Reza', 'Murturi, Ilir', 'Lovén, Lauri']",2025,2025-12-31T00:00:00+00:00,10.1145/3773274.3777421,https://core.ac.uk/download/699397807.pdf,https://core.ac.uk/download/699397807.pdf,,,0.0,,A4,0.4699,"Agentic AI, economic context/outcomes, compares distributed vs. centralized decision-making.",
arxiv,2402.09563v2,ABIDES-Economist: Agent-Based Simulator of Economic Systems with Learning Agents,"We present ABIDES-Economist, an agent-based simulator for economic systems that includes heterogeneous households, firms, a central bank, and a government. Agent behavior can be defined using domain-specific behavioral rules or learned through reinforcement learning by specifying their objectives. We integrate reinforcement learning capabilities for all agents using the OpenAI Gym environment framework for the multi-agent system. To enhance the realism of our model, we base agent parameters and action spaces on economic literature and real U.S. economic data. To tackle the challenges of calibrating heterogeneous agent-based economic models, we conduct a comprehensive survey of stylized facts related to both microeconomic and macroeconomic time series data. We then validate ABIDES-Economist by demonstrating its ability to generate simulated data that aligns with the relevant stylized facts for the economic scenario under consideration, following the learning of all agent behaviors via reinforcement learning. Specifically, we train our economic agents' policies under two broad configurations. The first configuration demonstrates that the learned economic agents produce system data consistent with macroeconomic and microeconomic stylized facts. The second configuration illustrates the utility of the validated simulation platform in designing regulatory policies for the central bank and government. These policies outperform standard rule-based approaches from the literature, which often overlook agent heterogeneity, shocks, and agent adaptability.","['Kshama Dwarakanath', 'Tucker Balch', 'Svitlana Vyetrenko']",2024,2024-02-14T20:26:52+00:00,,http://arxiv.org/abs/2402.09563v2,https://arxiv.org/pdf/2402.09563v2,,,,,"['cs.MA', 'econ.GN']",0.4639,"Agentic AI, economic context/outcomes, compares learning agents vs. rule-based approaches.",['arxiv']
