source,paper_id,title,abstract,authors,year,publication_date,doi,url,pdf_url,venue,journal,citation_count,reference_count,categories,similarity_score,sources
arxiv,2505.20273v1,Ten Principles of AI Agent Economics,"The rapid rise of AI-based autonomous agents is transforming human society and economic systems, as these entities increasingly exhibit human-like or superhuman intelligence. From excelling at complex games like Go to tackling diverse general-purpose tasks with large language and multimodal models, AI agents are evolving from specialized tools into dynamic participants in social and economic ecosystems. Their autonomy and decision-making capabilities are poised to impact industries, professions, and human lives profoundly, raising critical questions about their integration into economic activities, potential ethical concerns, and the balance between their utility and safety.
  To address these challenges, this paper presents ten principles of AI agent economics, offering a framework to understand how AI agents make decisions, influence social interactions, and participate in the broader economy. Drawing on economics, decision theory, and ethics, we explore fundamental questions, such as whether AI agents might evolve from tools into independent entities, their impact on labor markets, and the ethical safeguards needed to align them with human values. These principles build on existing economic theories while accounting for the unique traits of AI agents, providing a roadmap for their responsible integration into human systems.
  Beyond theoretical insights, this paper highlights the urgency of future research into AI trustworthiness, ethical guidelines, and regulatory oversight. As we enter a transformative era, this work serves as both a guide and a call to action, ensuring AI agents contribute positively to human progress while addressing risks tied to their unprecedented capabilities.","['Ke Yang', 'ChengXiang Zhai']",2025,2025-05-26T17:52:44+00:00,,http://arxiv.org/abs/2505.20273v1,https://arxiv.org/pdf/2505.20273v1,,,,,['cs.AI'],0.6688,
arxiv,2406.00477v1,Generative AI as Economic Agents,"Traditionally, AI has been modeled within economics as a technology that impacts payoffs by reducing costs or refining information for human agents. Our position is that, in light of recent advances in generative AI, it is increasingly useful to model AI itself as an economic agent. In our framework, each user is augmented with an AI agent and can consult the AI prior to taking actions in a game. The AI agent and the user have potentially different information and preferences over the communication, which can result in equilibria that are qualitatively different than in settings without AI.","['Nicole Immorlica', 'Brendan Lucier', 'Aleksandrs Slivkins']",2024,2024-06-01T16:15:18+00:00,,http://arxiv.org/abs/2406.00477v1,https://arxiv.org/pdf/2406.00477v1,,,,,['econ.TH'],0.6053,['arxiv']
core,302079000,Beyond Human Control: Unleashing the Uncharted Power of Agentic AI and Its Transformative Role in Society,"The rise of agentic AI—machines that can think, plan, and act autonomously—marks a transformative shift in the landscape of artificial intelligence. This paper delves into the concept of agentic AI, exploring its unique characteristics, including autonomy and proactive decision-making, which distinguish it from traditional AI systems. The study highlights the rapid evolution of AI technologies and their far-reaching impact across various sectors, such as healthcare, therapy &psychology, transportation, business, and smart cities. This paper examines the real-world applications of agentic AI, its transformative effects, and the ethical and operational challenges it presents. Key issues such as the balance between autonomy and human oversight, algorithmic bias, security, and privacy concerns are discussed. The paper also investigates the economic, workforce, and societal implications of widespread agentic AI adoption, while considering the future directions for its development. By identifying innovative trends, the potential for human-AI collaboration, and the need for robust regulation, this paper provides comprehensive insights into harnessing the power of agentic AI responsibly and sustainably, ensuring that its benefits outweigh its risks","['Victor Nicholas GURGU', 'Iosif GURGU', 'Vladimir RADIVOJEVIC', 'Ioana Andreea GURGU', 'Elena GURGU']",2025,,10.26458/2512,https://core.ac.uk/download/671570172.pdf,https://core.ac.uk/download/671570172.pdf,,,,,"['t', 'a', 'c', 'i', 'r', 'l', 'e']",0.5862,['core']
arxiv,2603.13942v3,"AI Agents in Financial Markets: Architecture, Applications, and Systemic Implications","Recent advances in large language models, tool-using agents, and financial machine learning are shifting financial automation from isolated prediction tasks to integrated decision systems that can perceive information, reason over objectives, and generate or execute actions. This paper develops an integrative framework for analysing agentic finance: financial market environments in which autonomous or semi-autonomous AI systems participate in information processing, decision support, monitoring, and execution workflows. The analysis proceeds in three steps. First, the paper proposes a four-layer architecture of financial AI agents covering data perception, reasoning engines, strategy generation, and execution with control. Second, it introduces the Agentic Financial Market Model (AFMM), a stylised agent-based representation linking agent design parameters such as autonomy depth, heterogeneity, execution coupling, infrastructure concentration, and supervisory observability to market-level outcomes including efficiency, liquidity resilience, volatility, and systemic risk. Third, it presents an illustrative empirical application based on event studies of AI-agent capability disclosures and heterogeneous market repricing. The paper argues that the systemic implications of AI in finance depend less on model intelligence alone than on how agent architectures are distributed, coupled, and governed across institutions. The empirical application is intentionally exploratory: it does not validate the full AFMM, but shows how one observable expectations channel can be studied using public data. In the near term, the most plausible equilibrium is bounded autonomy, in which AI agents operate as supervised co-pilots, monitoring systems, and constrained execution modules embedded within human decision processes.",['Hui Gong'],2026,2026-03-14T13:30:18+00:00,10.3390/fintech5020034,http://arxiv.org/abs/2603.13942v3,https://arxiv.org/pdf/2603.13942v3,,"FinTech 2026, 5(2), 34",,,['q-fin.GN'],0.5791,
arxiv,2410.15238v1,Economic Anthropology in the Era of Generative Artificial Intelligence,"This paper explores the intersection of economic anthropology and generative artificial intelligence (GenAI). It examines how large language models (LLMs) can simulate human decision-making and the inductive biases present in AI research. The study introduces two AI models: C.A.L.L.O.N. (Conventionally Average Late Liberal ONtology) and M.A.U.S.S. (More Accurate Understanding of Society and its Symbols). The former is trained on standard data, while the latter is adapted with anthropological knowledge. The research highlights how anthropological training can enhance LLMs' ability to recognize diverse economic systems and concepts. The findings suggest that integrating economic anthropology with AI can provide a more pluralistic understanding of economics and improve the sustainability of non-market economic systems.","['Zachary Sheldon', 'Peeyush Kumar']",2024,2024-10-20T00:27:33+00:00,,http://arxiv.org/abs/2410.15238v1,https://arxiv.org/pdf/2410.15238v1,,Annual Joint Meeting of Society of Economic Anthropology and Society for the Anthropology of Work 2024,,,"['cs.AI', 'econ.GN']",0.5754,['arxiv']
core,318699949,How agentic AI can be applied to behavioural science,"Traditional AI models have been extensively studied for their influence on human behaviour. But agentic AI remains largely unexplored in behavioural science. Dario Krpan, Dima Sayess, Fatima Koaik, George Philippe Farajalla, Pujen Shrestha and Robin Schnider discuss the concept of agentic AI and explore the risks and opportunities of its responsible integration into behavioural science","['Koaik, Fatima', 'Shrestha, Pujen', 'Sayess, Dima', 'Schnider, Robin', 'Philippe Farajalla, George', 'Krpan, Dario']",2025,2025-03-04T00:00:00+00:00,,https://core.ac.uk/download/701281305.pdf,https://core.ac.uk/download/701281305.pdf,,,0.0,,Blog post,0.5741,
openalex,https://openalex.org/W4407736602,Economics of Agentic AI in the Health-Care Industry,"This article explores the role of agentic AI in transforming health-care systems by automating workflows, enhancing collaboration, and improving patient outcomes. It discusses how agentic AI can address inefficiencies and fragmentation in global health care, leading to reduced costs and more personalized and higher quality care.",['Nir Kshetri'],2025,2025-01-01,https://doi.org/10.1109/mitp.2025.3529857,https://openalex.org/W4407736602,,IT Professional,IT Professional,10.0,3.0,"['Health care', 'Computer science', 'Knowledge management', 'Business', 'Data science', 'Industrial organization', 'Marketing', 'Economics', 'Economic growth']",0.5527,
arxiv,2601.06064v1,Socio-technical aspects of Agentic AI,"Agentic Artificial Intelligence (AI) represents a fundamental shift in the design of intelligent systems, characterized by interconnected components that collectively enable autonomous perception, reasoning, planning, action, and learning. Recent research on agentic AI has largely focused on technical foundations, including system architectures, reasoning and planning mechanisms, coordination strategies, and application-level performance across domains. However, the societal, ethical, economic, environmental, and governance implications of agentic AI remain weakly integrated into these technical treatments. This paper addresses this gap by presenting a socio-technical analysis of agentic AI that explicitly connects core technical components with societal context. We examine how architectural choices in perception, cognition, planning, execution, and memory introduce dependencies related to data governance, accountability, transparency, safety, and sustainability. To structure this analysis, we adopt the MAD-BAD-SAD construct as an analytical lens, capturing motivations, applications, and moral dilemmas (MAD); biases, accountability, and dangers (BAD); and societal impact, adoption, and design considerations (SAD). Using this lens, we analyze ethical considerations, implications, and challenges arising from contemporary agentic AI systems and assess their manifestation across emerging applications, including healthcare, education, industry, smart and sustainable cities, social services, communications and networking, and earth observation and satellite communications. The paper further identifies open challenges and suggests future research directions, framing agentic AI as an integrated socio-technical system whose behavior and impact are co-produced by algorithms, data, organizational practices, regulatory frameworks, and social norms.","['Praveen Kumar Donta', 'Alaa Saleh', 'Ying Li', 'Shubham Vaishnav', 'Kai Fang', 'Hailin Feng', 'Yuchao Xia', 'Thippa Reddy Gadekallu', 'Qiyang Zhang', 'Xiaodan Shi', 'Ali Beikmohammadi', 'Sindri Magnússon', 'Ilir Murturi', 'Chinmaya Kumar Dehury', 'Marcin Paprzycki', 'Lauri Loven', 'Sasu Tarkoma', 'Schahram Dustdar']",2025,2025-12-26T10:56:00+00:00,,http://arxiv.org/abs/2601.06064v1,https://arxiv.org/pdf/2601.06064v1,,,,,"['cs.CY', 'cs.AI', 'cs.MA']",0.5448,
core,309783529,"Responsibl AI and autonomous agents : governance, ethics, and sustainable innovation","As AI systems become increasingly autonomous and embedded in socio-technical environments, balancing innovation with social responsibility grows increasingly urgent. Multi-agent systems and autonomous agents offer valuable insights into decision-making, coordination, and adaptability, yet their deployment raises critical ethical and governance challenges. How can we ensure that AI aligns with human values, operates transparently, and remains accountable within complex social and economic ecosystems? This talk explores the intersection of AI ethics, governance, and agent-based perspectives, drawing on my work in AI policy and governance, as well as prior research on agents, agent organizations, formal models, and decision-making frameworks [6,7]. Recent advancements are reshaping AI not just as a technology but as a socio-technical process that functions in dynamic, multistakeholder environments. As such, addressing accountability, normative reasoning, and value alignment requires a multidisciplinary approach [2]. A central focus of this talk is the role of governance structures, regulatory mechanisms, and institutional oversight in ensuring AI remains both trustworthy and adaptable. Drawing on recent AI policy research [1], I will examine strategies for embedding ethical constraints in AI design, the role of explainability in agent decision-making, and how multi-agent coordination informs regulatory compliance. Rather than viewing regulation as a barrier, will show that responsible governance is an enabler of sustainable innovation, driving public trust, business differentiation, and long-term technological progress [4]. By integrating insights from agent-based modeling, AI policy frameworks, and governance strategies, this talk underscores the importance of designing AI systems that are both socially responsible and technically robust [5,3]. Ultimately, ensuring AI serves the common good requires a multidisciplinary approach-one that combines formal models, ethical considerations, and adaptive policy mechanisms to create AI systems that are accountable, fair, and aligned with human values","['Dignum, Virginia']",2025,2025-01-01T00:00:00+00:00,,https://core.ac.uk/download/688560644.pdf,https://core.ac.uk/download/688560644.pdf,,,0.0,,Conference paper,0.5264,
openalex,https://openalex.org/W4387373263,"Unveiling the Influence of Artificial Intelligence and Machine Learning on Financial Markets: A Comprehensive Analysis of AI Applications in Trading, Risk Management, and Financial Operations","This study explores the adoption and impact of artificial intelligence (AI) and machine learning (ML) in financial markets, utilizing a mixed-methods approach that includes a quantitative survey and a qualitative analysis of existing research papers, reports, and articles. The quantitative results demonstrate the growing adoption of AI and ML technologies in financial institutions and their most common applications, such as algorithmic trading, risk management, fraud detection, credit scoring, and customer service. Additionally, the qualitative analysis identifies key themes, including AI and ML adoption trends, challenges and barriers to adoption, the role of regulation, workforce transformation, and ethical and social considerations. The study highlights the need for financial professionals to adapt their skills and for organizations to address challenges, such as data privacy concerns, regulatory compliance, and ethical considerations. The research contributes to the knowledge on AI and ML in finance, helping policymakers, regulators, and professionals understand their benefits and challenges.","['Mohammad El Hajj', 'Jamil Hammoud']",2023,2023-10-05,https://doi.org/10.3390/jrfm16100434,https://openalex.org/W4387373263,https://www.mdpi.com/1911-8074/16/10/434/pdf?version=1696474078,Journal of risk and financial management,Journal of risk and financial management,146.0,77.0,"['Financial services', 'Workforce', 'Finance', 'Risk management', 'Financial market', 'Business', 'Artificial intelligence', 'Knowledge management', 'Computer science', 'Economics', 'Economic growth']",0.5225,
